,address,zip_code
813,1403 HYDE PARK BLVD C,77006
814,1403 MARSHALL ST,77006
815,1403 MILFORD ST,77006
816,1403 VERMONT ST,77006
817,1403 W WEBSTER ST,77006
818,1404 COOK ST,77006
819,1404 KIPLING ST,77006
820,1404 MARSHALL ST,77006
821,1404 MARYLAND ST,77006
822,1404 MICHIGAN ST,77006
823,1404 MISSOURI ST,77006
824,1404 NORTH BLVD,77006
825,1405 A INDIANA ST,77006
826,1405 A VERMONT ST,77006
827,1405 B VERMONT ST,77006
828,1405 BRANARD ST,77006
829,1405 COOK ST,77006
830,1405 MARSHALL ST,77006
831,1405 MARYLAND ST,77006
832,1405 NORTH BLVD,77006
833,1405 SOUTH BLVD,77006
834,1405 VASSAR ST,77006
835,1405 W WEBSTER ST,77006
